max_auc, method
0.6200000000000001,Probability
0.5075000000000001,Probability
0.5325,Probability
0.595,Probability
0.5925,Probability
0.81,Probability
0.73,Probability
0.6425,Probability
0.605,Probability
0.645,Probability
0.62,Probability
0.6575,Probability
0.5475,Probability
0.5675,Probability
0.5425,Probability
0.6075,Probability
0.73,Probability
0.605,Probability
0.5225,Probability
0.6799999999999999,Probability
0.5075000000000001,Probability
0.625,Probability
0.5525,Probability
0.565,Probability
0.6175,Probability
0.51,Probability
0.61,Probability
0.6300000000000001,Probability
0.51,Probability
0.5625,Probability
0.5449999999999999,Probability
0.8550000000000001,Probability
0.5375000000000001,Probability
0.53,Probability
0.5875,Probability
0.5525,Probability
0.5375,Probability
0.5975,Probability
0.5925,Probability
0.6950000000000001,Probability
0.595,Probability
0.5775,Probability
0.57,Probability
0.56,Probability
0.525,Probability
0.5149999999999999,Probability
0.58,Probability
0.6625,Probability
0.5025,Probability
0.63,Probability
0.6725000000000001,Probability
0.53,Probability
0.625,Probability
0.6325000000000001,Probability
0.64,Probability
0.815,Probability
0.5625,Probability
0.5525,Probability
0.5725,Probability
0.7425,Probability
0.8400000000000001,Probability
0.5425,Probability
0.7775000000000001,Probability
0.5875,Probability
0.5700000000000001,Probability
0.5225000000000001,Probability
0.54,Probability
0.5425,Probability
0.56,Probability
0.5549999999999999,Probability
0.6025,Probability
0.56,Probability
0.5425,Probability
0.6325,Probability
0.665,Probability
0.5225,Probability
0.53,Probability
0.5625,Probability
0.55,Probability
0.6499999999999999,Probability
0.6225,Probability
0.5900000000000001,Probability
0.5449999999999999,Probability
0.54,Probability
0.505,Probability
0.5625,Probability
0.6,Probability
0.585,Probability
0.5750000000000001,Probability
0.565,Probability
0.54,Probability
0.61,Probability
0.6075,Probability
0.5925,Probability
0.5775,Probability
0.6675,Probability
0.6425,Probability
0.5900000000000001,Probability
0.63,Probability
0.5375,Probability
