b: 0.9146960377693176	c: 0.5380963087081909
b: 0.8654254674911499	c: 0.535519540309906
b: 0.8437309265136719	c: 0.5801364183425903
b: 0.9886449575424194	c: 0.5431677103042603
b: 0.8919664621353149	c: 0.5573661923408508
b: 0.9253514409065247	c: 0.9935318231582642
b: 0.8843372464179993	c: 0.5865628719329834
b: 0.8385517001152039	c: 0.6037309765815735
b: 0.977245032787323	c: 0.5579062104225159
b: 0.9183804392814636	c: 0.9970070719718933
b: 0.8207986950874329	c: 0.8038264513015747
b: 0.8680219650268555	c: 0.7650807499885559
b: 0.8825777173042297	c: 0.7027987837791443
b: 0.9207507371902466	c: 0.9963973164558411
b: 0.7285169363021851	c: 0.6114832162857056
b: 0.9732714891433716	c: 0.5788933038711548
b: 0.8881857991218567	c: 0.9974249601364136
b: 0.8987137079238892	c: 0.998377799987793
b: 0.8223971128463745	c: 0.5693395733833313
b: 0.7563821077346802	c: 0.9982007741928101
b: 0.8532801866531372	c: 0.9968372583389282
b: 0.8258687257766724	c: 0.655876636505127
b: 0.8828275799751282	c: 0.9987565279006958
b: 0.8883752822875977	c: 0.9974139928817749
b: 0.8347433805465698	c: 0.5484200716018677
b: 0.8879495859146118	c: 0.9171333312988281
b: 0.8573234677314758	c: 0.6223104000091553
b: 0.8108887672424316	c: 0.6568568348884583
b: 0.891750156879425	c: 0.5702452063560486
b: 0.8671636581420898	c: 0.9929319620132446
b: 0.8939734697341919	c: 0.9974093437194824
b: 0.8491321802139282	c: 0.9983418583869934
b: 0.9464052319526672	c: 0.9987224340438843
b: 0.7771440744400024	c: 0.9977258443832397
b: 0.6897039413452148	c: 0.6062097549438477
b: 0.6833710670471191	c: 0.9963618516921997
b: 0.8467674255371094	c: 0.585084080696106
b: 0.8883777856826782	c: 0.9981910586357117
b: 0.9324119687080383	c: 0.6487438082695007
b: 0.8651533126831055	c: 0.622783362865448
b: 0.8823648691177368	c: 0.9921406507492065
b: 0.7236123085021973	c: 0.7490293979644775
b: 0.8608829379081726	c: 0.9741768836975098
b: 0.7646678686141968	c: 0.9977096319198608
b: 0.7535371780395508	c: 0.5832958817481995
b: 0.8935006260871887	c: 0.546794056892395
b: 0.8870193362236023	c: 0.9980791211128235
b: 0.8816625475883484	c: 0.9975767135620117
b: 0.6113250851631165	c: 0.9976847767829895
b: 0.9659185409545898	c: 0.5581269860267639
b: 0.9099394083023071	c: 0.5682126879692078
b: 0.894984245300293	c: 0.5735903978347778
b: 0.9007660746574402	c: 0.5555687546730042
b: 0.8448236584663391	c: 0.7640542984008789
b: 0.8863328695297241	c: 0.9981318712234497
b: 0.8539352416992188	c: 0.5425463914871216
b: 0.9009577035903931	c: 0.5621033906936646
b: 0.850842297077179	c: 0.9984374046325684
b: 0.8093662261962891	c: 0.5655525922775269
b: 0.8796125650405884	c: 0.5828331112861633
b: 0.899206280708313	c: 0.5362132787704468
b: 0.925427258014679	c: 0.7437989115715027
b: 0.912420392036438	c: 0.9969226717948914
b: 0.8820099830627441	c: 0.571755051612854
b: 0.8906288146972656	c: 0.5661338567733765
b: 0.8745599985122681	c: 0.5690237283706665
b: 0.8913432359695435	c: 0.5603090524673462
b: 0.8878685235977173	c: 0.9949487447738647
b: 0.6899195313453674	c: 0.7389351725578308
b: 0.8725711703300476	c: 0.5493497848510742
b: 0.7897742986679077	c: 0.997728168964386
b: 0.8940011262893677	c: 0.9979475140571594
b: 0.8408209085464478	c: 0.7234042882919312
b: 0.8402764201164246	c: 0.9980300664901733
b: 0.9406673312187195	c: 0.5982192754745483
b: 0.8800362348556519	c: 0.6342841386795044
b: 0.9812334179878235	c: 0.5875118970870972
b: 0.8025485873222351	c: 0.9976016879081726
b: 0.6420704126358032	c: 0.5945418477058411
b: 0.870319664478302	c: 0.5412410497665405
b: 0.8085609674453735	c: 0.9968529939651489
b: 0.8738139867782593	c: 0.5773016810417175
b: 0.8916837573051453	c: 0.5614832043647766
b: 0.8742740750312805	c: 0.5577243566513062
b: 0.8851348757743835	c: 0.9972793459892273
b: 0.8641763925552368	c: 0.6122756004333496
b: 0.8958500623703003	c: 0.664100706577301
b: 0.8639192581176758	c: 0.9987584948539734
b: 0.8838291168212891	c: 0.5803350210189819
b: 0.8995637893676758	c: 0.99806147813797
b: 0.902370810508728	c: 0.8018003702163696
b: 0.9642888307571411	c: 0.9981099963188171
b: 0.9877873659133911	c: 0.5414561629295349
b: 0.8898218870162964	c: 0.5549023151397705
b: 0.9008663296699524	c: 0.6161544919013977
b: 0.8851092457771301	c: 0.9980597496032715
b: 0.8572806119918823	c: 0.6086181402206421
b: 0.9052038192749023	c: 0.9933856129646301
b: 0.8824360966682434	c: 0.6995517015457153
b: 0.9380938410758972	c: 0.6314111948013306
