max_auc, method
0.9125,Probability
0.525,Probability
0.5625,Probability
0.5700000000000001,Probability
0.5575,Probability
0.8825,Probability
0.5275,Probability
0.5525,Probability
0.6699999999999999,Probability
0.725,Probability
0.525,Probability
0.705,Probability
0.62,Probability
0.69,Probability
0.5974999999999999,Probability
0.6299999999999999,Probability
0.8325,Probability
0.7050000000000001,Probability
0.6799999999999999,Probability
0.54,Probability
0.5449999999999999,Probability
0.62,Probability
0.54,Probability
0.625,Probability
0.7649999999999999,Probability
0.7025,Probability
0.65,Probability
0.5425,Probability
0.5225,Probability
0.6875,Probability
0.925,Probability
0.5549999999999999,Probability
0.7475,Probability
0.6375,Probability
0.66,Probability
0.56,Probability
0.545,Probability
0.5974999999999999,Probability
0.6,Probability
0.6725000000000001,Probability
0.6,Probability
0.905,Probability
0.64,Probability
0.8475,Probability
0.5175,Probability
0.5125,Probability
0.5425,Probability
0.565,Probability
0.645,Probability
0.5375,Probability
0.5675000000000001,Probability
0.8175,Probability
0.535,Probability
0.6075,Probability
0.7549999999999999,Probability
0.5449999999999999,Probability
0.575,Probability
0.5075000000000001,Probability
0.6425000000000001,Probability
0.865,Probability
0.6875,Probability
0.575,Probability
0.5175000000000001,Probability
0.655,Probability
0.57,Probability
0.5325,Probability
0.5825,Probability
0.56,Probability
0.7875,Probability
0.645,Probability
0.5925,Probability
0.5475,Probability
0.73,Probability
0.6325,Probability
0.5275,Probability
0.7925,Probability
0.8375,Probability
0.6025,Probability
0.6475,Probability
0.7,Probability
0.61,Probability
0.6575,Probability
0.6375,Probability
0.6525,Probability
0.6925,Probability
0.6699999999999999,Probability
0.555,Probability
0.8325,Probability
0.85,Probability
0.8075,Probability
0.5874999999999999,Probability
0.645,Probability
0.55,Probability
0.635,Probability
0.575,Probability
0.5425,Probability
0.7324999999999999,Probability
