max_auc, method
0.7175,Probability
0.595,Probability
0.605,Probability
0.6174999999999999,Probability
0.5225,Probability
0.6174999999999999,Probability
0.5125000000000001,Probability
0.5925,Probability
0.525,Probability
0.6525,Probability
0.615,Probability
0.5775,Probability
0.595,Probability
0.6074999999999999,Probability
0.565,Probability
0.7175,Probability
0.5900000000000001,Probability
0.7175,Probability
0.655,Probability
0.62,Probability
0.61,Probability
0.5925,Probability
0.6025,Probability
0.7024999999999999,Probability
0.5349999999999999,Probability
0.5475,Probability
0.5925,Probability
0.595,Probability
0.5675,Probability
0.505,Probability
0.535,Probability
0.6975,Probability
0.58,Probability
0.725,Probability
0.725,Probability
0.5175000000000001,Probability
0.5349999999999999,Probability
0.5325,Probability
0.555,Probability
0.7775000000000001,Probability
0.745,Probability
0.685,Probability
0.605,Probability
0.5250000000000001,Probability
0.5549999999999999,Probability
0.7975000000000001,Probability
0.5525,Probability
0.5225,Probability
0.6725,Probability
0.605,Probability
0.6000000000000001,Probability
0.52,Probability
0.5675,Probability
0.6725,Probability
0.6025,Probability
0.5700000000000001,Probability
0.5375000000000001,Probability
0.54,Probability
0.5549999999999999,Probability
0.5375,Probability
0.54,Probability
0.6875,Probability
0.5575,Probability
0.5700000000000001,Probability
0.5125,Probability
0.56,Probability
0.75,Probability
0.5525,Probability
0.7125,Probability
0.7925000000000001,Probability
0.6975,Probability
0.55,Probability
0.825,Probability
0.8175,Probability
0.5975,Probability
0.6725,Probability
0.7099999999999999,Probability
0.6475,Probability
0.7,Probability
0.615,Probability
0.52,Probability
0.5525,Probability
0.61,Probability
0.62,Probability
0.5574999999999999,Probability
0.5525,Probability
0.5125,Probability
0.6074999999999999,Probability
0.615,Probability
0.5575,Probability
0.5425,Probability
0.525,Probability
0.7949999999999999,Probability
0.68,Probability
0.6875,Probability
0.615,Probability
0.63,Probability
0.5825,Probability
0.5449999999999999,Probability
0.645,Probability
0.6275,Probability
